policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
78,33.8900000000,147668.5523105449,132734.8437979030,22576.5804366610,0.0000000000,-7642.8719240191
79,59.4100000000,69753.1296774748,46451.5097475761,9335.3806381291,6727.2960756188,7238.9432161507
80,16.9400000000,3234.0120090625,3295.4940253776,981.1384256101,0.0000000000,-1042.6204419252
81,163.8000000000,1917232.2650127495,1428863.3207692425,62132.0543501329,0.0000000000,426236.8898933741
82,37.7600000000,85260.6810552429,79392.0873910730,11411.0399856009,0.0000000000,-5542.4463214310
83,139.8600000000,17622.4687435723,23404.9321174986,633.9124744560,0.0000000000,-6416.3758483823
84,103.9400000000,375661.2478059534,459369.6997026111,18485.9514328057,0.0000000000,-102194.4033294634
85,72.2900000000,92041.8885137778,61265.9117282702,11235.6494126402,12221.4496631200,7318.8777097473
86,5.6200000000,4402.5911652894,3786.7495912454,4071.4902353290,0.0000000000,-3455.6486612850
87,83.3300000000,397871.6844932542,264714.0857426024,36687.4729524253,31759.4728093343,64710.6529888923
88,61.7000000000,52890.9012891741,44117.3978263871,4424.0762097174,0.0000000000,4349.4272530695
89,20.8900000000,30715.4373863930,20469.7677006084,12846.0535091116,4042.8629554462,-6643.2467787731
90,46.0400000000,517664.2063069019,344828.5017468742,85230.4970905489,40746.8231110620,46858.3843584168
91,57.3600000000,335688.8670904703,223441.3069088957,51702.9530789468,44410.1138208041,16134.4932818237
92,27.9500000000,47263.9785617426,38576.6312947194,8707.7188287182,0.0000000000,-20.3715616950
93,173.8400000000,1801805.3508627405,1437040.0371255628,55785.6408639687,0.0000000000,308979.6728732091
94,48.0000000000,221707.0965342494,180503.7344752754,23775.3234528887,0.0000000000,17428.0386060852
95,105.1700000000,835982.8388017251,557059.0550546856,69369.0078562282,110350.6245958906,99204.1512949207
96,75.1600000000,632336.7936586776,420930.5298985322,74229.2028290980,83628.8941009648,53548.1668300826
97,19.5500000000,6274.4364933198,5542.0961131528,1612.0294399813,0.0000000000,-879.6890598143
98,25.1200000000,70079.3268120845,48482.7258830303,14876.8621597380,1150.4579944429,5569.2807748733
99,55.0800000000,466528.6406009855,394861.6104568047,44571.4586650877,0.0000000000,27095.5714790931
100,21.9700000000,81365.5568097687,73656.9459836542,18898.0184100293,0.0000000000,-11189.4075839149
101,75.5800000000,177230.0199710641,160827.8513079789,12070.2118401256,0.0000000000,4331.9568229597
102,24.8900000000,155511.4346446493,127138.2390227743,33379.0878403938,0.0000000000,-5005.8922185188
103,119.9600000000,331324.0434194739,248176.0139535828,14949.4965501204,0.0000000000,68198.5329157707
104,14.3700000000,38313.8805522887,35124.6490904615,13479.8526559674,0.0000000000,-10290.6211941402
105,60.3800000000,3320.9000000000,4438.0213655619,275.0000000000,0.0000000000,-1392.1213655619
106,81.8000000000,243200.9038730361,161867.2648521822,26228.2213586028,32200.9923968568,22904.4252653943
107,1.3800000000,5977.9330365123,4615.6947637168,22392.4214021347,0.0000000000,-21030.1831293392
108,0.6900000000,2038.1807915070,1753.7808187582,15024.9570577101,0.0000000000,-14740.5570849613
109,58.7700000000,215951.7578126155,143899.9385321310,29045.5867887237,20770.3680045257,22235.8644872352
110,81.1900000000,73065.5751708855,83445.4171179580,4551.6737826840,0.0000000000,-14931.5157297565
111,262.3000000000,1904727.1089240685,1862970.6505162013,38408.9420291703,0.0000000000,3347.5163786970
112,69.0500000000,416523.3426775144,387060.1206453497,31717.2402598483,0.0000000000,-2254.0182276835
113,116.7300000000,825967.1542963181,550269.2431584552,61906.7498426023,108875.2170346923,104915.9442605682
114,59.7700000000,180475.8461206933,138344.9815400853,15941.6262091983,0.0000000000,26189.2383714098
115,176.7600000000,2545050.2432580469,1996682.4966828125,77680.2981493809,0.0000000000,470687.4484258535
116,59.6200000000,128400.1092626911,95756.1202125023,11410.3472498340,0.0000000000,21233.6418003549
117,248.1100000000,133509.5724114053,153776.5758296550,2783.4960072013,0.0000000000,-23050.4994254511
118,79.7200000000,874615.0269805877,788557.1579441560,57982.0204590740,0.0000000000,28075.8485773577
119,47.6500000000,459189.4956799233,431784.6513225159,50538.8728268229,0.0000000000,-23134.0284694155
120,96.3200000000,265941.5432166329,203715.9434245768,14314.7127374362,0.0000000000,47910.8870546199
121,46.1300000000,90834.0842789846,60446.8304733051,15139.4076052529,7227.6375170228,8020.2086834038
122,59.8300000000,165916.4765020562,139160.9764342450,14451.4653984107,0.0000000000,12304.0346694005
123,23.2100000000,224026.3667754557,181520.1604104849,50452.5265586408,0.0000000000,-7946.3201936700
124,73.9500000000,262436.8081965858,177690.1887822971,19345.8845412526,13770.2253223539,51630.5095506822
125,334.7500000000,2185191.5278761778,2240546.2195784515,33673.8963976404,0.0000000000,-89028.5880999141
126,4.7300000000,12360.8175019953,8901.4643353633,14178.8001376389,0.0000000000,-10719.4469710069
127,154.4700000000,720273.7846312575,489612.9506567882,24903.6699445437,46737.1986740890,159019.9653558366
